id;adi;aciklama;ders_linki;ders_videosu;ders_videosu_content_type
1;Virginia;../fake-data/blob/hipster.txt;Mountains engineer;../fake-data/blob/hipster.png;image/png
2;protocol Metrics;../fake-data/blob/hipster.txt;yellow;../fake-data/blob/hipster.png;image/png
3;Streamlined Supervisor;../fake-data/blob/hipster.txt;Multi-layered invoice blue;../fake-data/blob/hipster.png;image/png
4;Swedish;../fake-data/blob/hipster.txt;Representative Tools Wooden;../fake-data/blob/hipster.png;image/png
5;navigating facilitate indexing;../fake-data/blob/hipster.txt;yellow interface;../fake-data/blob/hipster.png;image/png
6;Coordinator;../fake-data/blob/hipster.txt;application;../fake-data/blob/hipster.png;image/png
7;Multi-tiered;../fake-data/blob/hipster.txt;Fiji reboot invoice;../fake-data/blob/hipster.png;image/png
8;index;../fake-data/blob/hipster.txt;Beauty;../fake-data/blob/hipster.png;image/png
9;copy;../fake-data/blob/hipster.txt;deposit;../fake-data/blob/hipster.png;image/png
10;Response Card;../fake-data/blob/hipster.txt;compressing;../fake-data/blob/hipster.png;image/png
